education_node_id,textbook_id,deleted_at
49,2,
50,2,
51,2,
52,2,
53,2,
54,2,
55,2,
56,2,
57,2,
58,2,
59,2,
60,2,
61,2,
62,2,
63,2,
64,2,
65,2,
66,2,
67,2,
68,2,
69,2,
1182,12,
448,12,
256,12,
255,12,
94,12,
241,12,
1330,12,
453,12,
1323,12,
507,12,
121,12,
1674,12,
253,12,
1145,12,
324,12,
159,12,
135,12,
167,12,
1704,12,
118,12,
240,12,
323,12,
114,12,
178,12,
1705,12,
247,12,
246,12,
399,12,
1582,12,
284,12,
282,12,
1416,12,
166,12,
247,12,
285,12,
1418,12,
283,12,
575,12,
1746,12,
1747,12,
297,12,
561,12,
1748,12,
292,12,
287,12,
286,12,
1422,12,
291,12,
288,12,
1616,12,
1420,12,
1809,13,
1810,13,
1811,13,
290,13,
711,13,
1868,13,
1869,13,
1870,13,
1871,13,
1997,14,
566,14,
1998,14,
1999,14,
2000,14,
2001,14,
2002,14,
1646,12,
1706,12,
80,12,
580,12,
1704,12,
444,13,
438,13,
442,13,
443,13,
445,13,
1264,13,
129,13,
307,13,
1812,13,
1872,13,
1873,13,
571,14,
2003,14,
2004,14,
290,14,
1108,14,
1966,14,
2005,14,
386,14,
856,14,
248,14,
358,14,
2006,14,
1239,14,
2007,14,
435,14,
1101,14,
996,14,
749,14,
2008,14,
2009,14,
592,14,
2141,14,
2142,14,
2143,14,
2144,14,
2145,14,
1071,14,
2146,14,
76,14,
329,14,
2147,14,
2148,14,
2149,14,
2150,14,
2151,14,
2152,14,
2153,14,
2318,15,
1414,15,
1407,15,
1442,15,
1477,15,
2319,15,
2320,15,
2321,15,
1812,15,
2322,15,
2323,15,
2465,15,
2466,15,
2467,15,
2468,15,
2469,15,
2470,15,
2471,15,
2472,15,
2473,15,
2474,15,
2475,15,
1129,15,
2476,15,
2477,15,
2478,15,
2479,15,
2480,15,
2481,15,
2482,15,2026-03-20 18:50:11.443+00
2550,18,2026-03-24 18:29:26.487+00
2579,18,
284,18,
283,18,
405,18,
1707,12,
1708,12,
1182,12,
146,12,
1586,12,
159,12,
1749,12,
161,12,
1514,12,
748,12,
405,12,
171,12,
1361,12,
1750,12,
1751,12,
1752,12,
1753,12,
1754,12,
434,13,
425,13,
426,13,
432,13,
436,13,
676,13,
427,13,
853,13,
431,13,
298,13,
1044,13,
1242,13,
1549,13,
1874,13,
1875,13,
1552,13,
1876,13,
1877,13,
2010,14,
2011,14,
2012,14,
2013,14,
2014,14,
2015,14,
2016,14,
2017,14,
2018,14,
2019,14,
2020,14,
2021,14,
2022,14,
2023,14,
2024,14,
2025,14,
2026,14,
1319,14,
1864,14,
511,14,
2027,14,
385,14,
2028,14,
2029,14,
2030,14,
1130,14,
677,14,
793,14,
330,14,
312,14,
90,14,
2154,14,
2155,14,
333,15,
389,15,
2324,15,
670,15,
383,15,
1437,15,
2325,15,
2326,15,
255,15,
408,15,
580,15,
401,15,
2484,15,2026-03-20 18:50:09.821+00
2483,15,2026-03-20 18:50:13.347+00
1646,18,
82,18,
1563,18,
1182,18,
1586,18,
1709,12,
1646,12,
1563,12,
156,12,
157,12,
1755,12,
1756,12,
1362,12,
1757,12,
1758,12,
1759,12,
1367,12,
1760,12,
1761,12,
1762,12,
1813,13,
156,13,
460,13,
461,13,
1878,13,
1879,13,
1880,13,
1881,13,
1882,13,
1883,13,
86,13,
315,13,
453,13,
92,13,
179,13,
344,13,
310,13,
385,13,
285,13,
284,13,
1008,13,
1884,13,
282,13,
1416,13,
166,13,
1418,13,
247,13,
588,13,
451,13,
1102,13,
2031,14,
2032,14,
2033,14,
2034,14,
2035,14,
2036,14,
896,14,
2156,14,
2157,14,
894,14,
2158,14,
2159,14,
2160,14,
2161,14,
2162,14,
2163,14,
2164,14,
2165,14,
2166,14,
588,15,
2327,15,2026-03-20 18:29:54.623+00
2485,15,
2486,15,
2487,15,
2488,15,
2489,15,
2490,15,
2491,15,
2492,15,
2493,15,
2494,15,
2495,15,
2496,15,
869,15,
2497,15,
2498,15,
2499,15,
2500,15,
2501,15,
2502,15,
2554,18,
159,18,
2580,18,
177,12,
1710,12,
1739,12,
345,12,
1814,13,
242,13,
126,13,
1829,13,
1885,13,
1264,14,
129,14,
2037,14,
1927,14,
2038,14,
2167,14,
2168,14,
2169,14,
2170,14,
2171,14,
2328,15,
2503,15,
2504,15,
2505,15,
2506,15,
2507,15,
2508,15,
2509,15,
2555,18,
255,18,
1792,18,
1322,18,
1567,18,
1323,18,
1324,18,
743,18,
2556,18,
71,18,
1749,18,
161,18,
245,18,
244,18,
243,18,
242,18,
241,18,
240,18,
167,18,
389,18,
2581,18,
2582,18,
2583,18,
2584,18,
2585,18,
2586,18,
1591,18,
1592,18,
1589,18,
2587,18,
2588,18,
1587,18,
2589,18,
2590,18,
282,18,
166,18,
2630,18,
1418,18,
247,18,
2631,18,
2632,18,
2633,18,
2634,18,
2635,18,
2636,18,
2637,18,
2661,14,
2664,14,
1711,12,
1712,12,
98,12,
90,12,
421,12,
328,12,
73,12,
890,12,
253,12,
1763,12,
575,12,
673,12,
84,12,
145,13,
1514,13,
1815,13,
533,13,
135,13,
134,13,
540,13,
113,13,
532,13,
122,13,
299,13,
536,13,
331,13,
1816,13,
1817,13,
1818,13,
1819,13,
1820,13,
1821,13,
1822,13,
1823,13,
552,13,
1886,13,
1887,13,
1888,13,
1889,13,
1890,13,
1891,13,
1892,13,
1893,13,
256,13,
1894,13,
290,13,
2039,14,
2040,14,
2041,14,
2042,14,
2043,14,
2044,14,
2172,14,
2173,14,
2174,14,
2175,14,
375,14,
2176,14,
889,14,
887,14,
2177,14,
2178,14,
2179,14,
2180,14,
2181,14,
1131,14,
2329,15,
2330,15,
2331,15,
2332,15,
1312,15,
1299,15,
1117,15,
2510,15,
2511,15,
2512,15,
2513,15,
2514,15,
2515,15,
2516,15,
2517,15,
2557,18,
1667,18,
2558,18,
2559,18,
2560,18,
2561,18,
2562,18,
1713,12,
1714,12,
1644,12,
101,12,
1764,12,
1765,12,
1766,12,
1767,12,
99,12,
1768,12,
1769,12,
1348,12,
1770,12,
1824,13,
1825,13,
1202,13,
1826,13,
1827,13,
556,13,
855,13,
376,13,
846,13,
1895,13,
847,13,
1896,13,
1897,13,
851,13,
614,13,
1898,13,
881,13,
880,13,
1899,13,
1900,13,
1901,13,
1902,13,
1903,13,
1904,13,
1905,13,
1906,13,
1907,13,
1908,13,
2045,14,
1283,14,
659,14,
2046,14,
2047,14,
818,14,
2048,14,
560,14,
1070,14,
816,14,
1244,14,
2049,14,2026-03-20 16:43:36.173+00
2050,14,2026-03-20 16:43:38.772+00
2051,14,2026-03-20 16:43:40.349+00
2182,14,
2183,14,
2184,14,
2185,14,
2186,14,
2187,14,
2188,14,
2189,14,
2190,14,
2191,14,
2192,14,
1224,14,
2333,15,
2334,15,
2335,15,
2336,15,
2337,15,
2338,15,
2339,15,
2340,15,
2341,15,
2342,15,
2343,15,
2344,15,
2345,15,
2346,15,
2347,15,
2518,15,
2519,15,
2520,15,
2521,15,
2522,15,
2523,15,
1715,12,
1771,12,
1639,12,
405,13,
1909,13,
1910,13,
1911,13,
1912,13,
1913,13,
1914,13,
1915,13,
1916,13,
1917,13,
1918,13,
1919,13,
1920,13,
788,14,
2052,14,
785,14,
2053,14,
1492,14,
2054,14,
2193,14,
581,14,
2194,14,
1621,14,
2195,14,
2196,14,
1264,14,
2197,14,
2198,14,
2199,14,
2200,14,
2201,14,
2202,14,
2203,14,
2204,14,
2205,14,
2206,14,
2207,14,
845,14,
2208,14,
1043,14,
926,14,
437,14,
1046,14,
2209,14,
1289,15,
2348,15,
1100,15,
2349,15,
1283,15,
2350,15,
2351,15,
1102,15,
1098,15,
999,15,
1287,15,
1000,15,
1288,15,
650,15,
387,15,
2524,15,
2525,15,
2526,15,
2527,15,
2528,15,
