id,grade,deleted_at
1,three,
2,three,
3,three,2025-11-12 18:54:48.111+00
5,four,
6,six,
4,three,
7,three,
8,three,
10,three,
11,three,2025-12-31 20:40:07.176+00
12,three,
13,three,
14,three,
16,one,
17,three,
18,three,
19,six,2026-03-23 21:44:56.456+00
20,three,
21,four,
22,six,
9,three,2026-03-24 14:09:00.411+00
23,three,
24,six,
25,three,
26,four,
27,four,
28,four,
30,preschool,
31,three,
29,five,2026-04-05 23:26:53.627+00
32,three,
33,one,
34,four,
35,four,
36,four,
37,four,
38,three,
